Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Ted Ginn,NO,WR,16,0,0,0,71.28,0,54.12,813.12,3.96,0,0,0,0,FantasyPros
Cody Parkey,CHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Tyler Eifert,CIN,TE,16,0,0,0,0,0,66,761.64,5.28,0,0,0,0,FantasyPros
David Njoku,CLE,TE,16,0,0,0,0,0,58.08,679.8,6.6,0,0,0,0,FantasyPros
D.J. Moore,CAR,WR,16,0,0,0,47.52,0,54.12,737.88,5.28,0,0,0,0,FantasyPros
Charles Clay,BUF,TE,16,0,0,0,0,0,80.52,836.88,3.96,0,0,0,0,FantasyPros
Ryan Grant,IND,WR,16,0,0,0,0,0,60.72,753.72,5.28,0,0,0,0,FantasyPros
New York Giants,NYG,DST,16,0,0,0,0,0,0,0,0,38.28,18.48,15.84,15.84,FantasyPros
Albert Wilson,MIA,WR,16,0,0,0,14.52,0,68.64,815.76,3.96,0,0,0,0,FantasyPros
Hayden Hurst,BAL,TE,16,0,0,0,0,0,83.16,749.76,5.28,0,0,0,0,FantasyPros
Sam Bradford,ARI,QB,16,1939.08,9.24,5.28,25.08,0,0,0,0,0,0,0,0,FantasyPros
Austin Ekeler,LAC,RB,16,0,0,0,509.52,2.64,36.96,364.32,2.64,0,0,0,0,FantasyPros
Cleveland Browns,CLE,DST,16,0,0,0,0,0,0,0,0,43.56,17.16,14.52,11.88,FantasyPros
Jordan Matthews,NE,WR,16,0,0,0,0,0,67.32,789.36,5.28,0,0,0,0,FantasyPros
Trey Burton,CHI,TE,16,0,0,0,0,0,66,736.56,5.28,0,0,0,0,FantasyPros
Zay Jones,BUF,WR,16,0,0,0,0,0,63.36,813.12,3.96,0,0,0,0,FantasyPros
Tyrell Williams,LAC,WR,16,0,0,0,0,0,51.48,823.68,3.96,0,0,0,0,FantasyPros
Latavius Murray,MIN,RB,16,0,0,0,611.16,5.28,17.16,129.36,0,0,0,0,0,FantasyPros
Cameron Brate,TB,TE,16,0,0,0,0,0,59.4,714.12,5.28,0,0,0,0,FantasyPros
Corey Clement,PHI,RB,16,0,0,0,414.48,5.28,22.44,269.28,1.32,0,0,0,0,FantasyPros
George Kittle,SF,TE,16,0,0,0,0,0,60.72,707.52,5.28,0,0,0,0,FantasyPros
Nyheim Hines,IND,RB,16,0,0,0,397.32,3.96,40.92,326.04,1.32,0,0,0,0,FantasyPros
Brandon LaFell,CIN,WR,16,0,0,0,0,0,63.36,770.88,3.96,0,0,0,0,FantasyPros
Ty Montgomery,GB,RB,16,0,0,0,393.36,2.64,54.12,397.32,1.32,0,0,0,0,FantasyPros
Vance McDonald,PIT,TE,16,0,0,0,0,0,56.76,685.08,5.28,0,0,0,0,FantasyPros
Eric Ebron,IND,TE,16,0,0,0,0,0,60.72,681.12,5.28,0,0,0,0,FantasyPros
Jared Cook,OAK,TE,16,0,0,0,0,0,62.04,749.76,3.96,0,0,0,0,FantasyPros
Austin Seferian-Jenkins,JAX,TE,16,0,0,0,0,0,60.72,670.56,5.28,0,0,0,0,FantasyPros
Spencer Ware,KC,RB,16,0,0,0,518.76,3.96,15.84,192.72,1.32,0,0,0,0,FantasyPros
Austin Hooper,ATL,TE,16,0,0,0,0,0,59.4,656.04,5.28,0,0,0,0,FantasyPros
Giovani Bernard,CIN,RB,16,0,0,0,459.36,2.64,35.64,314.16,1.32,0,0,0,0,FantasyPros
Ricky Seals-Jones,ARI,TE,16,0,0,0,0,0,54.12,720.72,3.96,0,0,0,0,FantasyPros
Willie Snead,BAL,WR,16,0,0,0,0,0,67.32,807.84,2.64,0,0,0,0,FantasyPros
Chris Carson,SEA,RB,16,0,0,0,587.4,2.64,17.16,138.6,1.32,0,0,0,0,FantasyPros
Darren Sproles,PHI,RB,16,0,0,0,398.64,2.64,40.92,378.84,1.32,0,0,0,0,FantasyPros
Benjamin Watson,NO,TE,16,0,0,0,0,0,60.72,619.08,5.28,0,0,0,0,FantasyPros
Frank Gore,MIA,RB,16,0,0,0,528,1.32,35.64,261.36,1.32,0,0,0,0,FantasyPros
Quincy Enunwa,NYJ,WR,16,0,0,0,0,0,56.76,760.32,2.64,0,0,0,0,FantasyPros
Mike Williams,LAC,WR,16,0,0,0,0,0,50.16,597.96,5.28,0,0,0,0,FantasyPros
Theo Riddick,DET,RB,16,0,0,0,220.44,1.32,63.36,491.04,2.64,0,0,0,0,FantasyPros
Brandon Marshall,SEA,WR,16,0,0,0,0,0,44.88,575.52,5.28,0,0,0,0,FantasyPros
John Brown,BAL,WR,16,0,0,0,17.16,0,50.16,712.8,2.64,0,0,0,0,FantasyPros
Travis Benjamin,LAC,WR,16,0,0,0,108.24,0,40.92,636.24,2.64,0,0,0,0,FantasyPros
Doug Martin,OAK,RB,16,0,0,0,592.68,3.96,11.88,95.04,0,0,0,0,0,FantasyPros
Sam Darnold,NYJ,QB,16,1576.08,9.24,9.24,52.8,0,0,0,0,0,0,0,0,FantasyPros
Terrelle Pryor,NYJ,WR,16,0,0,0,15.84,0,51.48,685.08,2.64,0,0,0,0,FantasyPros
Peyton Barber,TB,RB,16,0,0,0,596.64,3.96,9.24,73.92,0,0,0,0,0,FantasyPros
Tre'Quan Smith,NO,WR,16,0,0,0,0,0,51.48,644.16,3.96,0,0,0,0,FantasyPros
LeGarrette Blount,DET,RB,16,0,0,0,530.64,5.28,7.92,56.76,0,0,0,0,0,FantasyPros
Donte Moncrief,JAX,WR,16,0,0,0,0,0,47.52,604.56,3.96,0,0,0,0,FantasyPros
Dede Westbrook,JAX,WR,16,0,0,0,0,0,51.48,682.44,2.64,0,0,0,0,FantasyPros
Kendall Wright,MIN,WR,16,0,0,0,0,0,56.76,678.48,2.64,0,0,0,0,FantasyPros
Jermaine Kearse,NYJ,WR,16,0,0,0,0,0,52.8,671.88,2.64,0,0,0,0,FantasyPros
OJ Howard,TB,TE,16,0,0,0,0,0,43.56,586.08,3.96,0,0,0,0,FantasyPros
Elijah McGuire,NYJ,RB,16,0,0,0,396,2.64,23.76,234.96,1.32,0,0,0,0,FantasyPros
Ryan Griffin,HOU,TE,16,0,0,0,0,0,51.48,566.28,3.96,0,0,0,0,FantasyPros
Danny Amendola,MIA,WR,16,0,0,0,29.04,0,59.4,630.96,2.64,0,0,0,0,FantasyPros
JJ Nelson,ARI,WR,16,0,0,0,30.36,0,38.28,645.48,2.64,0,0,0,0,FantasyPros
John Ross,CIN,WR,16,0,0,0,59.4,0,43.56,588.72,2.64,0,0,0,0,FantasyPros
