Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Benjamin Watson,NO,TE,16,0,0,0,0,0,50.6,515.9,4.4,0,0,0,0,ESPN
Frank Gore,MIA,RB,16,0,0,0,440,1.1,29.7,217.8,1.1,0,0,0,0,ESPN
Quincy Enunwa,NYJ,WR,16,0,0,0,0,0,47.3,633.6,2.2,0,0,0,0,ESPN
Mike Williams,LAC,WR,16,0,0,0,0,0,41.8,498.3,4.4,0,0,0,0,ESPN
Theo Riddick,DET,RB,16,0,0,0,183.7,1.1,52.8,409.2,2.2,0,0,0,0,ESPN
Brandon Marshall,SEA,WR,16,0,0,0,0,0,37.4,479.6,4.4,0,0,0,0,ESPN
John Brown,BAL,WR,16,0,0,0,14.3,0,41.8,594,2.2,0,0,0,0,ESPN
Travis Benjamin,LAC,WR,16,0,0,0,90.2,0,34.1,530.2,2.2,0,0,0,0,ESPN
Doug Martin,OAK,RB,16,0,0,0,493.9,3.3,9.9,79.2,0,0,0,0,0,ESPN
Sam Darnold,NYJ,QB,16,1313.4,7.7,7.7,44,0,0,0,0,0,0,0,0,ESPN
Terrelle Pryor,NYJ,WR,16,0,0,0,13.2,0,42.9,570.9,2.2,0,0,0,0,ESPN
Peyton Barber,TB,RB,16,0,0,0,497.2,3.3,7.7,61.6,0,0,0,0,0,ESPN
Tre'Quan Smith,NO,WR,16,0,0,0,0,0,42.9,536.8,3.3,0,0,0,0,ESPN
LeGarrette Blount,DET,RB,16,0,0,0,442.2,4.4,6.6,47.3,0,0,0,0,0,ESPN
Donte Moncrief,JAX,WR,16,0,0,0,0,0,39.6,503.8,3.3,0,0,0,0,ESPN
Dede Westbrook,JAX,WR,16,0,0,0,0,0,42.9,568.7,2.2,0,0,0,0,ESPN
Kendall Wright,MIN,WR,16,0,0,0,0,0,47.3,565.4,2.2,0,0,0,0,ESPN
Jermaine Kearse,NYJ,WR,16,0,0,0,0,0,44,559.9,2.2,0,0,0,0,ESPN
OJ Howard,TB,TE,16,0,0,0,0,0,36.3,488.4,3.3,0,0,0,0,ESPN
Elijah McGuire,NYJ,RB,16,0,0,0,330,2.2,19.8,195.8,1.1,0,0,0,0,ESPN
Ryan Griffin,HOU,TE,16,0,0,0,0,0,42.9,471.9,3.3,0,0,0,0,ESPN
Danny Amendola,MIA,WR,16,0,0,0,24.2,0,49.5,525.8,2.2,0,0,0,0,ESPN
JJ Nelson,ARI,WR,16,0,0,0,25.3,0,31.9,537.9,2.2,0,0,0,0,ESPN
John Ross,CIN,WR,16,0,0,0,49.5,0,36.3,490.6,2.2,0,0,0,0,ESPN
TJ Yeldon,JAX,RB,16,0,0,0,319,2.2,28.6,218.9,0,0,0,0,0,ESPN
Christian Kirk,ARI,WR,16,0,0,0,8.8,0,37.4,455.4,3.3,0,0,0,0,ESPN
Mike Gesicki,MIA,TE,16,0,0,0,0,0,50.6,456.5,3.3,0,0,0,0,ESPN
Travaris Cadet,BUF,RB,16,0,0,0,284.9,2.2,24.2,167.2,1.1,0,0,0,0,ESPN
Chester Rogers,IND,WR,16,0,0,0,25.3,0,35.2,468.6,2.2,0,0,0,0,ESPN
Taywan Taylor,TEN,WR,16,0,0,0,56.1,0,31.9,434.5,2.2,0,0,0,0,ESPN
Seth Roberts,OAK,WR,16,0,0,0,22,1.1,41.8,420.2,2.2,0,0,0,0,ESPN
Cole Beasley,DAL,WR,16,0,0,0,0,0,45.1,479.6,2.2,0,0,0,0,ESPN
Bennie Fowler,CHI,WR,16,0,0,0,0,0,30.8,410.3,3.3,0,0,0,0,ESPN
De'Angelo Henderson,DEN,RB,16,0,0,0,354.2,2.2,11,97.9,1.1,0,0,0,0,ESPN
Chris Godwin,TB,WR,16,0,0,0,0,0,34.1,471.9,2.2,0,0,0,0,ESPN
Chris Ivory,BUF,RB,16,0,0,0,434.5,2.2,12.1,99,0,0,0,0,0,ESPN
James Washington,PIT,WR,16,0,0,0,14.3,1.1,30.8,399.3,2.2,0,0,0,0,ESPN
Geronimo Allison,GB,WR,16,0,0,0,0,0,33,433.4,3.3,0,0,0,0,ESPN
Robert Turbin,IND,RB,16,0,0,0,293.7,3.3,16.5,113.3,0,0,0,0,0,ESPN
Gerald Everett,LAR,TE,16,0,0,0,0,0,30.8,382.8,3.3,0,0,0,0,ESPN
Courtland Sutton,DEN,WR,16,0,0,0,0,0,37.4,469.7,2.2,0,0,0,0,ESPN
Taylor Gabriel,CHI,WR,16,0,0,0,23.1,0,37.4,489.5,1.1,0,0,0,0,ESPN
Trent Taylor,SF,WR,16,0,0,0,0,0,41.8,486.2,2.2,0,0,0,0,ESPN
Roberto Aguayo,LAC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Adam Humphries,TB,WR,16,0,0,0,13.2,0,48.4,512.6,1.1,0,0,0,0,ESPN
Virgil Green,LAC,TE,16,0,0,0,0,0,33,365.2,3.3,0,0,0,0,ESPN
Anthony Miller,CHI,WR,16,0,0,0,7.7,0,33,435.6,2.2,0,0,0,0,ESPN
Michael Gallup,DAL,WR,16,0,0,0,24.2,0,33,418,2.2,0,0,0,0,ESPN
Josh Allen,BUF,QB,16,1041.7,5.5,6.6,36.3,0,0,0,0,0,0,0,0,ESPN
Corey Grant,JAX,RB,16,0,0,0,367.4,2.2,9.9,82.5,0,0,0,0,0,ESPN
Jalen Richard,OAK,RB,16,0,0,0,265.1,1.1,23.1,203.5,1.1,0,0,0,0,ESPN
Chase Edmonds,ARI,RB,16,0,0,0,321.2,2.2,15.4,123.2,0,0,0,0,0,ESPN
